ko	description	Cytoplasmic	CytoplasmicMembrane	Extracellular	OuterMembrane	Periplasmic	Unknown	subcellular location	copy number	fraction of prokaryotes
K11180	dsrA; sulfite reductase alpha subunit [EC:1.8.99.3 1.8.99.5]	1	0	0	0	0	0	cytoplasmatic	1.184782609	0.033117351
K11181	dsrB; sulfite reductase beta subunit [EC:1.8.99.3 1.8.99.5]	0.98245614	0	0	0	0.00877193	0.00877193	cytoplasmatic	1.141304348	0.033117351
K13275	isp; major intracellular serine protease [EC:3.4.21.-]	1	0	0	0	0	0	cytoplasmatic	1.076086957	0.033117351
K18471	ydjG; methylglyoxal reductase [EC:1.1.1.-]	0.991666667	0	0	0	0	0.008333333	cytoplasmatic	1.010869565	0.033117351
K06299	gerPA; spore germination protein PA	0.957746479	0	0	0	0	0.042253521	cytoplasmatic	1.075268817	0.033477322
K06300	gerPB; spore germination protein PB	0.937007874	0	0	0	0	0.062992126	cytoplasmatic	1	0.033477322
K07022	K07022; uncharacterized protein	0.9921875	0.0078125	0	0	0	0	cytoplasmatic	1.053763441	0.033477322
K07585	K07585; tRNA methyltransferase	0.958333333	0	0	0	0	0.041666667	cytoplasmatic	1	0.033477322
K08851	"TP53RK, PRPK, BUD32; TP53 regulating kinase and related kinases [EC:2.7.11.1]"	0.947368421	0	0	0	0	0.052631579	cytoplasmatic	1	0.033477322
K10713	"fae; 5,6,7,8-tetrahydromethanopterin hydro-lyase [EC:4.2.1.147]"	0.99378882	0.00621118	0	0	0	0	cytoplasmatic	1.139784946	0.033477322
K12989	lpcC; mannosyltransferase [EC:2.4.1.-]	0.925373134	0.044776119	0	0	0	0.029850746	cytoplasmatic	1	0.033477322
K00436	hoxH; NAD-reducing hydrogenase large subunit [EC:1.12.1.2]	1	0	0	0	0	0	cytoplasmatic	1.010638298	0.033837293
K09006	K09006; uncharacterized protein	1	0	0	0	0	0	cytoplasmatic	1	0.033837293
K09124	K09124; uncharacterized protein	0.889705882	0.007352941	0	0	0	0.102941176	cytoplasmatic	1.063829787	0.033837293
K15895	"pseC; UDP-4-amino-4,6-dideoxy-L-N-acetyl-beta-L-altrosamine transaminase [EC:2.6.1.92]"	0.992248062	0	0	0	0	0.007751938	cytoplasmatic	1	0.033837293
K16213	mbe; mannobiose 2-epimerase	0.88	0	0	0	0	0.12	cytoplasmatic	1.021276596	0.033837293
K16306	"K16306; fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]"	0.994219653	0	0	0	0	0.005780347	cytoplasmatic	1.255319149	0.033837293
K07103	K07103; uncharacterized protein	0.919463087	0	0	0	0	0.080536913	cytoplasmatic	1.221052632	0.034197264
K07741	antB; anti-repressor protein	0.873786408	0	0	0	0	0.126213592	cytoplasmatic	1.094736842	0.034197264
K10708	frlB; fructoselysine 6-phosphate deglycase [EC:3.5.-.-]	0.991666667	0	0	0	0	0.008333333	cytoplasmatic	1	0.034197264
K14568	"EMG1, NEP1; rRNA small subunit pseudouridine methyltransferase Nep1 [EC:2.1.1.260]"	0.956521739	0.017391304	0	0	0	0.026086957	cytoplasmatic	1.021052632	0.034197264
K18301	"mexL; TetR/AcrR family transcriptional regulator, mexJK operon transcriptional repressor"	0.973684211	0.013157895	0	0	0.013157895	0	cytoplasmatic	1.031578947	0.034197264
K18910	"dpe, lre; D-psicose/D-tagatose/L-ribulose 3-epimerase [EC:5.1.3.30 5.1.3.31]"	0.894409938	0	0	0	0	0.105590062	cytoplasmatic	1.368421053	0.034197264
K03332	fruA; fructan beta-fructosidase [EC:3.2.1.80]	0.827956989	0.037634409	0	0	0.016129032	0.11827957	cytoplasmatic	1.145833333	0.034557235
K06146	"idnR, gntH; LacI family transcriptional regulator, gluconate utilization system Gnt-II transcriptional activator"	0.990990991	0.009009009	0	0	0	0	cytoplasmatic	1	0.034557235
K07730	K07730; putative transcriptional regulator	0.968992248	0	0	0	0	0.031007752	cytoplasmatic	1.010416667	0.034557235
K15835	"murR; RpiR family transcriptional regulator, murPQ operon repressor"	0.888	0.096	0	0	0	0.016	cytoplasmatic	1	0.034557235
K16216	yueD; benzil reductase ((S)-benzoin forming) [EC:1.1.1.320]	0.828571429	0	0.007142857	0	0	0.164285714	cytoplasmatic	1	0.034557235
K18029	nicA; nicotinate dehydrogenase subunit A [EC:1.17.2.1]	1	0	0	0	0	0	cytoplasmatic	1.052083333	0.034557235
K02173	yggC; putative kinase	0.882882883	0	0	0	0	0.117117117	cytoplasmatic	1	0.034917207
K06301	gerPC; spore germination protein PC	0.970588235	0	0	0	0	0.029411765	cytoplasmatic	1.010309278	0.034917207
K07823	pcaF; 3-oxoadipyl-CoA thiolase [EC:2.3.1.174]	1	0	0	0	0	0	cytoplasmatic	1.020618557	0.034917207
K18144	"adeR; two-component system, OmpR family, response regulator AdeR"	1	0	0	0	0	0	cytoplasmatic	1.113402062	0.034917207
K06979	mph; macrolide phosphotransferase	0.943262411	0	0	0	0	0.056737589	cytoplasmatic	1.010204082	0.035277178
K10711	"frlR; GntR family transcriptional regulator, frlABCD operon transcriptional regulator"	1	0	0	0	0	0	cytoplasmatic	1.040816327	0.035277178
K10856	"acxC; acetone carboxylase, gamma subunit [EC:6.4.1.6]"	0.948275862	0	0	0	0	0.051724138	cytoplasmatic	1.020408163	0.035277178
K18939	"lmrA, yxaF; TetR/AcrR family transcriptional regulator, lmrAB and yxaGH operons repressor"	0.949308756	0.036866359	0	0	0.00921659	0.004608295	cytoplasmatic	1.37755102	0.035277178
K07096	K07096; uncharacterized protein	0.962406015	0	0	0	0	0.037593985	cytoplasmatic	1.090909091	0.035637149
K07405	E3.2.1.1A; alpha-amylase [EC:3.2.1.1]	0.902912621	0	0	0	0	0.097087379	cytoplasmatic	1.01010101	0.035637149
K09717	K09717; uncharacterized protein	0.977272727	0	0	0	0	0.022727273	cytoplasmatic	1.01010101	0.035637149
K16839	hpxO; FAD-dependent urate hydroxylase [EC:1.14.13.113]	1	0	0	0	0	0	cytoplasmatic	1.01010101	0.035637149
K18775	levB; levanbiose-producing levanase [EC:3.2.1.64]	0.846560847	0.005291005	0.021164021	0	0.047619048	0.079365079	cytoplasmatic	1.161616162	0.035637149
K00696	E2.4.1.14; sucrose-phosphate synthase [EC:2.4.1.14]	0.975806452	0	0	0	0	0.024193548	cytoplasmatic	1.02	0.03599712
K13816	rpfF; DSF synthase	0.994186047	0	0	0	0	0.005813953	cytoplasmatic	1	0.03599712
K18009	"budC; meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.- 1.1.1.76 1.1.1.304]"	0.971631206	0	0	0	0	0.028368794	cytoplasmatic	1.01	0.03599712
K18472	accD6; acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit [EC:6.4.1.2 6.4.1.3]	0.98540146	0	0	0	0	0.01459854	cytoplasmatic	1.03	0.03599712
K06020	E3.6.3.25; sulfate-transporting ATPase [EC:3.6.3.25]	0.916666667	0.074074074	0	0	0	0.009259259	cytoplasmatic	1.069306931	0.036357091
K09152	K09152; uncharacterized protein	0.913043478	0	0	0	0	0.086956522	cytoplasmatic	1	0.036357091
K09711	K09711; uncharacterized protein	1	0	0	0	0	0	cytoplasmatic	1.01980198	0.036357091
K12429	fadD36; fatty acid CoA ligase FadD36	0.808510638	0.163120567	0	0	0	0.028368794	cytoplasmatic	1.03960396	0.036357091
K13019	"wbpI, wlbD; UDP-GlcNAc3NAcA epimerase [EC:5.1.3.23]"	0.992366412	0.007633588	0	0	0	0	cytoplasmatic	1	0.036357091
K17462	yrrT; putative AdoMet-dependent methyltransferase [EC:2.1.1.-]	0.850340136	0	0	0	0	0.149659864	cytoplasmatic	1	0.036357091
K17992	hndB; NADP-reducing hydrogenase subunit HndB [EC:1.12.1.3]	0.93442623	0	0	0	0	0.06557377	cytoplasmatic	1.02970297	0.036357091
K07057	K07057; uncharacterized protein	1	0	0	0	0	0	cytoplasmatic	1.058823529	0.036717063
K07083	K07083; putative periplasmic solute-binding protein	0.866071429	0.008928571	0	0	0	0.125	cytoplasmatic	1	0.036717063
K08476	"pgtA; two-component system, NtrC family, phosphoglycerate transport system response regulator PgtA"	0.980263158	0.019736842	0	0	0	0	cytoplasmatic	1.009803922	0.036717063
K09126	K09126; uncharacterized protein	0.868055556	0	0	0	0	0.131944444	cytoplasmatic	1.019607843	0.036717063
K10682	"saeR; two-component system, OmpR family, response regulator SaeR"	1	0	0	0	0	0	cytoplasmatic	1	0.036717063
K13829	aroKB; shikimate kinase / 3-dehydroquinate synthase [EC:2.7.1.71 4.2.3.4]	0.992805755	0.007194245	0	0	0	0	cytoplasmatic	1	0.036717063
K16871	POP2; 4-aminobutyrate---pyruvate transaminase [EC:2.6.1.96]	1	0	0	0	0	0	cytoplasmatic	1.058823529	0.036717063
K18907	"norG; GntR family transcriptional regulator, regulator for abcA and norABC"	0.959390863	0.005076142	0	0	0	0.035532995	cytoplasmatic	1.205882353	0.036717063
K09473	puuD; gamma-glutamyl-gamma-aminobutyrate hydrolase [EC:3.5.1.94]	0.900662252	0.006622517	0	0	0	0.092715232	cytoplasmatic	1.019417476	0.037077034
K09682	"hpr; MarR family transcriptional regulator, protease production regulatory protein HPr"	0.993197279	0	0	0	0	0.006802721	cytoplasmatic	1.019417476	0.037077034
K10906	recE; exodeoxyribonuclease VIII [EC:3.1.11.-]	0.960674157	0	0	0	0.005617978	0.033707865	cytoplasmatic	1.349514563	0.037077034
K13767	fadB; enoyl-CoA hydratase [EC:4.2.1.17]	1	0	0	0	0	0	cytoplasmatic	1.019417476	0.037077034
K16150	K16150; glycogen(starch) synthase [EC:2.4.1.11]	0.985714286	0	0	0	0	0.014285714	cytoplasmatic	1.009708738	0.037077034
K16515	galB; 4-oxalomesaconate hydratase [EC:4.2.1.83]	0.987951807	0	0	0	0	0.012048193	cytoplasmatic	1.009708738	0.037077034
K18333	K18333; L-fucose dehydrogenase	0.98974359	0	0	0	0	0.01025641	cytoplasmatic	1.048543689	0.037077034
K18479	yihS; sulfoquinovose isomerase [EC:5.3.1.31]	0.952755906	0	0	0	0	0.047244094	cytoplasmatic	1	0.037077034
K00452	"HAAO; 3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6]"	0.952941176	0	0	0	0	0.047058824	cytoplasmatic	1.019230769	0.037437005
K00518	sodN; nickel superoxide dismutase [EC:1.15.1.1]	0.940298507	0	0	0	0	0.059701493	cytoplasmatic	1.019230769	0.037437005
K02538	"manR; activator of the mannose operon, transcriptional antiterminator"	0.830645161	0.14516129	0	0	0	0.024193548	cytoplasmatic	1.076923077	0.037437005
K06375	spo0B; stage 0 sporulation protein B (sporulation initiation phosphotransferase) [EC:2.7.-.-]	0.986206897	0	0	0	0	0.013793103	cytoplasmatic	1.009615385	0.037437005
K06608	"iolR; DeoR family transcriptional regulator, myo-inositol catabolism operon repressor"	0.993103448	0	0	0	0	0.006896552	cytoplasmatic	1.067307692	0.037437005
K12268	asp1; accessory secretory protein Asp1	0.97810219	0.00729927	0	0	0	0.01459854	cytoplasmatic	1.028846154	0.037437005
K12276	mshE; MSHA biogenesis protein MshE	1	0	0	0	0	0	cytoplasmatic	1	0.037437005
K16514	galD; 4-oxalomesaconate tautomerase [EC:5.3.2.8]	0.98816568	0	0	0	0.00591716	0.00591716	cytoplasmatic	1.009615385	0.037437005
K00066	algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132]	1	0	0	0	0	0	cytoplasmatic	1.047619048	0.037796976
K01846	"glmS, mutS, mamA; methylaspartate mutase sigma subunit [EC:5.4.99.1]"	0.825	0	0	0	0	0.175	cytoplasmatic	1.714285714	0.037796976
K06314	rsfA; prespore-specific regulator	0.867052023	0	0	0	0	0.132947977	cytoplasmatic	1.104761905	0.037796976
K06318	bofC; forespore regulator of the sigma-K checkpoint	0.878980892	0	0	0	0.006369427	0.114649682	cytoplasmatic	1	0.037796976
K12113	"ebgR; LacI family transcriptional regulator, ebg operon repressor"	1	0	0	0	0	0	cytoplasmatic	1	0.037796976
K14447	ecm; (2R)-ethylmalonyl-CoA mutase	1	0	0	0	0	0	cytoplasmatic	1	0.037796976
K14952	namH; UDP-MurNAc hydroxylase	0.979166667	0	0	0	0	0.020833333	cytoplasmatic	1.00952381	0.037796976
K00630	ATS1; glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]	1	0	0	0	0	0	cytoplasmatic	1	0.038156947
K09681	"gltC; LysR family transcriptional regulator, transcription activator of glutamate synthase operon"	0.96	0.02	0	0	0	0.02	cytoplasmatic	1.018867925	0.038156947
K11615	"malR; two-component system, CitB family, response regulator MalR"	0.994350282	0	0	0	0	0.005649718	cytoplasmatic	1.047169811	0.038156947
K12112	ebgC; evolved beta-galactosidase subunit beta	0.885714286	0	0	0	0	0.114285714	cytoplasmatic	1.018867925	0.038156947
K13057	treT; trehalose synthase [EC:2.4.1.245]	0.992592593	0	0	0	0	0.007407407	cytoplasmatic	1.08490566	0.038156947
K15983	kshB; 3-ketosteroid 9alpha-monooxygenase subunit B [EC:1.14.13.142]	0.882629108	0.014084507	0	0	0	0.103286385	cytoplasmatic	1.273584906	0.038156947
K16049	"hsaC; 3,4-dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione 4,5-dioxygenase [EC:1.13.11.25]"	0.923076923	0	0	0	0	0.076923077	cytoplasmatic	1.009433962	0.038156947
K18383	K18383; trans-feruloyl-CoA hydratase / vanillin synthase [EC:4.2.1.101 4.1.2.41]	0.994535519	0.005464481	0	0	0	0	cytoplasmatic	1.028301887	0.038156947
K19115	csh2; CRISPR-associated protein Csh2	0.830508475	0	0	0.02259887	0	0.146892655	cytoplasmatic	1.037735849	0.038156947
K03918	lat; L-lysine 6-transaminase [EC:2.6.1.36]	0.959731544	0	0	0	0	0.040268456	cytoplasmatic	1.037383178	0.038516919
K13522	"K13522, nadM; bifunctional NMN adenylyltransferase/nudix hydrolase [EC:2.7.7.1 3.6.1.-]"	0.858024691	0.00617284	0	0	0	0.135802469	cytoplasmatic	1.018691589	0.038516919
K13777	atuF; geranyl-CoA carboxylase alpha subunit [EC:6.4.1.5]	1	0	0	0	0	0	cytoplasmatic	1.009345794	0.038516919
K15510	fgd1; coenzyme F420-dependent glucose-6-phosphate dehydrogenase [EC:1.1.98.2]	0.962264151	0	0	0	0	0.037735849	cytoplasmatic	1.093457944	0.038516919
K10810	tenI; thiazole tautomerase (transcriptional regulator TenI) [EC:5.3.99.10]	0.84939759	0.012048193	0	0	0	0.138554217	cytoplasmatic	1	0.03887689
K01994	"gerE; LuxR family transcriptional regulator, transcriptional regulator of spore coat protein"	0.964497041	0	0	0	0	0.035502959	cytoplasmatic	1	0.039236861
K06350	kipA; antagonist of KipI	0.9875	0	0	0	0	0.0125	cytoplasmatic	1.018348624	0.039236861
K06417	spoVID; stage VI sporulation protein D	0.938650307	0	0	0.006134969	0	0.055214724	cytoplasmatic	1	0.039236861
K13018	"wbpD, wlbB; UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase [EC:2.3.1.201]"	1	0	0	0	0	0	cytoplasmatic	1.009174312	0.039236861
K13491	"wspF; two-component system, chemotaxis family, response regulator WspF [EC:3.1.1.61]"	0.979166667	0.020833333	0	0	0	0	cytoplasmatic	1	0.039236861
K03493	bglG1; transcriptional antiterminator	0.959016393	0	0	0	0	0.040983607	cytoplasmatic	1	0.039596832
K07176	K07176; putative serine/threonine protein kinase	0.923664122	0.007633588	0	0	0	0.06870229	cytoplasmatic	1.009090909	0.039596832
K07493	K07493; putative transposase	0.940880503	0.001257862	0	0	0	0.057861635	cytoplasmatic	5.645454545	0.039596832
K07557	tgtA2; archaeosine synthase [EC:2.6.1.97]	0.985815603	0	0	0	0	0.014184397	cytoplasmatic	1.009090909	0.039596832
K08077	NUDT14; UDP-sugar diphosphatase [EC:3.6.1.45]	0.945205479	0	0	0	0	0.054794521	cytoplasmatic	1.018181818	0.039596832
K08678	"UXS1, uxs; UDP-glucuronate decarboxylase [EC:4.1.1.35]"	0.988333333	0	0	0	0	0.011666667	cytoplasmatic	1.018181818	0.039596832
K13778	atuC; geranyl-CoA carboxylase beta subunit [EC:6.4.1.5]	0.994011976	0.005988024	0	0	0	0	cytoplasmatic	1.054545455	0.039596832
K00200	"fwdA, fmdA; formylmethanofuran dehydrogenase subunit A [EC:1.2.99.5]"	0.891509434	0	0	0	0.004716981	0.103773585	cytoplasmatic	1.333333333	0.039956803
K05830	"lysJ, argD; LysW-gamma-L-lysine/LysW-L-ornithine aminotransferase [EC:2.6.1.-]"	1	0	0	0	0	0	cytoplasmatic	1	0.039956803
K06863	purP; 5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5'-monophosphate synthetase [EC:6.3.4.23]	0.989090909	0	0	0	0	0.010909091	cytoplasmatic	1.81981982	0.039956803
K07573	"CSL4, EXOSC1; exosome complex component CSL4"	0.939189189	0	0	0	0	0.060810811	cytoplasmatic	1	0.039956803
K11476	"K11476, gntR; GntR family transcriptional regulator, gluconate operon transcriptional repressor"	0.987654321	0	0	0	0	0.012345679	cytoplasmatic	1.045045045	0.039956803
K13774	atuB; citronellol/citronellal dehydrogenase	0.994011976	0.005988024	0	0	0	0	cytoplasmatic	1.027027027	0.039956803
K16363	lpxC-fabZ; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]	0.993464052	0	0	0	0	0.006535948	cytoplasmatic	1	0.039956803
K16950	asrA; anaerobic sulfite reductase subunit A	1	0	0	0	0	0	cytoplasmatic	1.081081081	0.039956803
K00007	dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	0.985148515	0.014851485	0	0	0	0	cytoplasmatic	1	0.040316775
K05887	ydiB; quinate/shikimate dehydrogenase [EC:1.1.1.282]	1	0	0	0	0	0	cytoplasmatic	1	0.040316775
K07272	rgpF; rhamnosyltransferase [EC:2.4.1.-]	0.964788732	0.007042254	0	0	0	0.028169014	cytoplasmatic	1.0625	0.040316775
K02239	comER; competence protein ComER	0.988095238	0.005952381	0	0	0	0.005952381	cytoplasmatic	1	0.040676746
K03679	"RRP4, EXOSC2; exosome complex component RRP4"	0.913907285	0.006622517	0	0	0	0.079470199	cytoplasmatic	1	0.040676746
K06351	kipI; inhibitor of KinA	0.988095238	0.011904762	0	0	0	0	cytoplasmatic	1.017699115	0.040676746
K08097	"E4.4.1.19, comA; phosphosulfolactate synthase [EC:4.4.1.19]"	1	0	0	0	0	0	cytoplasmatic	1.079646018	0.040676746
K13921	pduQ; 1-propanol dehydrogenase	0.987951807	0.012048193	0	0	0	0	cytoplasmatic	1	0.040676746
K14665	amhX; amidohydrolase [EC:3.5.1.-]	1	0	0	0	0	0	cytoplasmatic	1	0.040676746
K02079	agaA; N-acetylgalactosamine-6-phosphate deacetylase [EC:3.5.1.25]	1	0	0	0	0	0	cytoplasmatic	1.00877193	0.041036717
K05880	dhaR; transcriptional activator for dhaKLM operon	0.988439306	0	0	0	0	0.011560694	cytoplasmatic	1	0.041036717
K09944	K09944; uncharacterized protein	0.833333333	0.086666667	0	0	0	0.08	cytoplasmatic	1	0.041036717
K13489	wspD; chemotaxis-related protein WspD	0.984455959	0.015544041	0	0	0	0	cytoplasmatic	1	0.041036717
K18933	"mfnA, adc; tyrosine decarboxylase / aspartate 1-decarboxylase [EC:4.1.1.25 4.1.1.11]"	0.986206897	0.006896552	0	0	0	0.006896552	cytoplasmatic	1	0.041036717
K05818	"mhpR; IclR family transcriptional regulator, mhp operon transcriptional activator"	0.928571429	0.029761905	0	0	0	0.041666667	cytoplasmatic	1.052173913	0.041396688
K11600	"RRP41, EXOSC4, SKI6; exosome complex component RRP41"	1	0	0	0	0	0	cytoplasmatic	1	0.041396688
K13479	"ygeT, xdhB; xanthine dehydrogenase FAD-binding subunit [EC:1.17.1.4]"	0.97810219	0	0	0	0	0.02189781	cytoplasmatic	1.008695652	0.041396688
K13488	wspB; chemotaxis-related protein WspB	0.984848485	0.015151515	0	0	0	0	cytoplasmatic	1	0.041396688
K14338	"cypD_E, CYP102A2_3; cytochrome P450 / NADPH-cytochrome P450 reductase [EC:1.14.14.1 1.6.2.4]"	0.884057971	0.106280193	0	0	0	0.009661836	cytoplasmatic	1.27826087	0.041396688
K15629	CYP152A1; fatty-acid peroxygenase [EC:1.11.2.4]	0.914634146	0.030487805	0	0	0.012195122	0.042682927	cytoplasmatic	1.034782609	0.041396688
K16951	asrB; anaerobic sulfite reductase subunit B	1	0	0	0	0	0	cytoplasmatic	1.07826087	0.041396688
K02322	"DPB1, polD2; DNA polymerase II large subunit [EC:2.7.7.7]"	0.980645161	0	0	0	0	0.019354839	cytoplasmatic	1	0.041756659
K02323	"DPB2, polD1; DNA polymerase II small subunit [EC:2.7.7.7]"	0.967741935	0	0.006451613	0	0.006451613	0.019354839	cytoplasmatic	1	0.041756659
K04034	bchE; anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase [EC:4.-.-.-]	0.942857143	0.035714286	0	0	0	0.021428571	cytoplasmatic	1.094827586	0.041756659
K07143	K07143; UPF0148 protein	0.899328859	0	0	0	0	0.100671141	cytoplasmatic	1.00862069	0.041756659
K10780	fabL; enoyl-[acyl-carrier protein] reductase III [EC:1.3.1.104]	0.937888199	0.062111801	0	0	0	0	cytoplasmatic	1.00862069	0.041756659
K12589	"RRP42, EXOSC7; exosome complex component RRP42"	0.95483871	0	0	0	0	0.04516129	cytoplasmatic	1	0.041756659
K14056	"puuR; HTH-type transcriptional regulator, repressor for puuD"	0.994475138	0	0	0	0	0.005524862	cytoplasmatic	1.086206897	0.041756659
K17830	GGR; digeranylgeranylglycerophospholipid reductase [EC:1.3.1.101 1.3.7.11]	0.919191919	0	0	0	0.005050505	0.075757576	cytoplasmatic	1.181034483	0.041756659
K00385	asrC; anaerobic sulfite reductase subunit C	1	0	0	0	0	0	cytoplasmatic	1.05982906	0.042116631
K04484	radB; DNA repair protein RadB	0.932885906	0.006711409	0	0	0	0.060402685	cytoplasmatic	1	0.042116631
K06328	cotE; spore coat protein E	1	0	0	0	0	0	cytoplasmatic	1.008547009	0.042116631
K07692	"degU; two-component system, NarL family, response regulator DegU"	1	0	0	0	0	0	cytoplasmatic	1.017094017	0.042116631
K10896	FANCM; fanconi anemia group M protein	1	0	0	0	0	0	cytoplasmatic	1	0.042116631
K13017	"wbpE, wlbC; UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase [EC:2.6.1.98]"	0.994186047	0	0	0	0	0.005813953	cytoplasmatic	1	0.042116631
K18900	"bpeT; LysR family transcriptional regulator, regulator for bpeEF and oprC"	0.995833333	0	0	0	0	0.004166667	cytoplasmatic	1.11965812	0.042116631
K03482	"yidP; GntR family transcriptional regulator, glv operon transcriptional regulator"	1	0	0	0	0	0	cytoplasmatic	1.313559322	0.042476602
K10973	"allR; IclR family transcriptional regulator, negative regulator of allantoin and glyoxylate utilization operons"	1	0	0	0	0	0	cytoplasmatic	1	0.042476602
K13490	"wspE; two-component system, chemotaxis family, sensor histidine kinase and response regulator WspE"	0.995049505	0	0	0	0	0.004950495	cytoplasmatic	1	0.042476602
K13486	wspC; chemotaxis protein methyltransferase WspC	0.955	0.025	0	0	0	0.02	cytoplasmatic	1.008403361	0.042836573
K16850	uxaA2; altronate dehydratase large subunit [EC:4.2.1.7]	0.920245399	0.006134969	0	0	0	0.073619632	cytoplasmatic	1.084033613	0.042836573
K05791	terZ; tellurium resistance protein TerZ	1	0	0	0	0	0	cytoplasmatic	1.108333333	0.043196544
K05828	"lysZ, argB; LysW-gamma-L-alpha-aminoadipate/LysW-L-glutamate kinase [EC:2.7.2.-]"	1	0	0	0	0	0	cytoplasmatic	1	0.043196544
K06330	cotH; spore coat protein H	0.802325581	0.005813953	0	0.023255814	0	0.168604651	cytoplasmatic	1.05	0.043196544
K07482	"K07482; transposase, IS30 family"	0.884272997	0	0	0	0	0.115727003	cytoplasmatic	2.716666667	0.043196544
K13503	trpEG; anthranilate synthase [EC:4.1.3.27]	1	0	0	0	0	0	cytoplasmatic	1.025	0.043196544
K18474	fabM; trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:5.3.3.14]	1	0	0	0	0	0	cytoplasmatic	1	0.043196544
K00712	tagE; poly(glycerol-phosphate) alpha-glucosyltransferase [EC:2.4.1.52]	0.825443787	0	0	0	0.00295858	0.171597633	cytoplasmatic	2.148760331	0.043556515
K04035	"E1.14.13.81, acsF, chlE; magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase [EC:1.14.13.81]"	0.927710843	0	0	0	0	0.072289157	cytoplasmatic	1.371900826	0.043556515
K07055	"TRM12, TYW2; tRNA wybutosine-synthesizing protein 2 [EC:2.5.1.114]"	0.987096774	0	0	0	0	0.012903226	cytoplasmatic	1	0.043556515
K07744	K07744; transcriptional regulator	0.951515152	0.006060606	0	0	0	0.042424242	cytoplasmatic	1.066115702	0.043556515
K09730	K09730; uncharacterized protein	0.966887417	0	0	0	0	0.033112583	cytoplasmatic	1	0.043556515
K11131	"DKC1, NOLA4, CBF5; H/ACA ribonucleoprotein complex subunit 4 [EC:5.4.99.-]"	0.987654321	0	0	0	0	0.012345679	cytoplasmatic	1.008264463	0.043556515
K17737	"dhcR; LysR family transcriptional regulator, carnitine catabolism transcriptional activator"	0.947089947	0.031746032	0	0	0.015873016	0.005291005	cytoplasmatic	1	0.043556515
K00301	E1.5.3.1; sarcosine oxidase [EC:1.5.3.1]	0.946308725	0.026845638	0	0	0	0.026845638	cytoplasmatic	1.221311475	0.043916487
K03755	"adiY; AraC family transcriptional regulator, transcriptional activator of adiA"	0.992805755	0	0	0	0	0.007194245	cytoplasmatic	1	0.043916487
K05363	murM; serine/alanine adding enzyme [EC:2.3.2.10]	0.958549223	0.005181347	0	0	0	0.03626943	cytoplasmatic	1.352459016	0.043916487
K05829	"lysY, argC; LysW-gamma-L-alpha-aminoadipyl-6-phosphate/LysW-L-glutamyl-5-phosphate reductase [EC:1.2.1.-]"	1	0	0	0	0	0	cytoplasmatic	1	0.043916487
K11475	"vanR; GntR family transcriptional regulator, vanillate catabolism transcriptional regulator"	0.994845361	0	0	0	0	0.005154639	cytoplasmatic	1.098360656	0.043916487
K13016	wbpB; UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase [EC:1.1.1.335]	0.980263158	0.006578947	0	0	0	0.013157895	cytoplasmatic	1.008196721	0.043916487
K13940	sulD; dihydroneopterin aldolase / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:4.1.2.25 2.7.6.3]	0.88125	0	0	0.0125	0	0.10625	cytoplasmatic	1.008196721	0.043916487
K02201	E2.7.7.3B; pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]	0.886227545	0	0	0	0	0.113772455	cytoplasmatic	1.056910569	0.044276458
K02972	sra; stationary-phase-induced ribosome-associated protein	1	0	0	0	0	0	cytoplasmatic	1	0.044276458
K06936	K06936; uncharacterized protein	0.974683544	0	0	0	0	0.025316456	cytoplasmatic	1.032520325	0.044276458
K09759	aspC; nondiscriminating aspartyl-tRNA synthetase [EC:6.1.1.23]	1	0	0	0	0	0	cytoplasmatic	1.06504065	0.044276458
K17285	SELENBP1; selenium-binding protein 1	0.820987654	0.012345679	0	0	0.024691358	0.141975309	cytoplasmatic	1.016260163	0.044276458
K17488	mptA; GTP cyclohydrolase IV [EC:3.5.4.39]	0.993630573	0	0	0	0.006369427	0	cytoplasmatic	1.024390244	0.044276458
K13041	"ttrR; two-component system, LuxR family, response regulator TtrR"	0.989189189	0.005405405	0	0	0	0.005405405	cytoplasmatic	1.137096774	0.044636429
